ACARAId,SchoolName,SchoolType,SchoolURL,States ,Email,Numbers,SchoolGeographicLocation,IndependentSchool,SchoolSector
49340,Adelaide North Special School,Special,https://anss.sa.edu.au/,SA,dl.0476.info@schools.sa.edu.au,(08) 8254 2625,40,N,Gov
50073,Adelaide River School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/adelaide-river-school,NT,teach.det@education.nt.gov.au,1800 646 391,73,N,Gov
42530,Adelong Public School,Prim,https://adelong-p.schools.nsw.gov.au,NSW,adelong-p.school@det.nsw.edu.au,02 6946 2053,11,N,Gov
52378,Advance College of Education Incorporated,Special,http://www.advancecollege.vic.edu.au,VIC,aceinfo@advance.vic.edu.au,,20,Y,NG
43780,Aetaomah School,Pri/Sec,https://www.aetaomah.nsw.edu.au/,NSW,contact@aetaomah.nsw.edu.au,0266 797 255,11,Y,NG
44886,Ainslie Parklands Primary School,Prim,http://ainslieparklandsps.vic.edu.au/,VIC,ainslie.parklands.ps@education.vic.gov.au,(03) 9870 1566,20,N,Gov
52936,Aintree Primary School,Prim,http://aintreeps.vic.edu.au,VIC,aintree.ps@education.vic.gov.au,(03) 9218 6200,20,N,Gov
41594,Airds High School,Sec,https://airds-h.schools.nsw.gov.au,NSW,airds-h.school@det.nsw.edu.au,02 4625 5811,10,N,Gov
52492,Aireys Inlet Primary School,Prim,http://aireysinletps.vic.edu.au/,VIC,Aireys.inlet.ps@education.vic.gov.au,"(03) 5289 7062, (03) 5289 7144",21,N,Gov
44716,Airly Primary School,Prim,http://www.airlyps.vic.edu.au,VIC,airly.ps@education.vic.gov.au,03 5149 8251,21,N,Gov
46353,Aitken College,Pri/Sec,http://www.aitkencollege.edu.au,VIC,admin@aitkencollege.edu.au,(03) 9333 9100,20,Y,NG
50266,Aitken Creek Primary School,Prim,http://www.aitkencreekps.vic.edu.au/,VIC,aitken.creek.ps@education.vic.gov.au,03 8338 3700,20,N,Gov
52696,Aitken Hill Primary School,Prim,https://www.aitkenhillps.vic.edu.au/,VIC,aitken.hill.ps@education.vic.gov.au,383771000,20,N,Gov
41548,Ajuga School,Special,https://ajuga-s.schools.nsw.gov.au,NSW,ajuga-s.school@det.nsw.edu.au,02 9827 6100,10,N,Gov
43919,Al Amanah College,Pri/Sec,https://www.alamanah.nsw.edu.au/,NSW,admin@alamanah.nsw.edu.au,"(02) 9822 8022, (02) 9708 1220",10,Y,NG
43852,"Al Amanah College, Bankstown campus",Pri/Sec,http://www.alamanah.nsw.edu.au,NSW,admin@alamanah.nsw.edu.au,"(02) 9822 8022, (02) 9708 1220",10,Y,NG
50603,Al Hikma College,Prim,http://alhikma.nsw.edu.au/,NSW,admin@alhikma.nsw.edu.au,(02) 9703 3017,10,Y,NG
52380,Al Iman College,Pri/Sec,https://aliman.vic.edu.au/,VIC,info@aliman.vic.edu.au,,20,Y,NG
46390,Al Siraat College,Pri/Sec,http://www.alsiraat.vic.edu.au,VIC,info@alsiraat.vic.edu.au,,20,Y,NG
43946,Al Zahra College,Pri/Sec,http://www.azc.nsw.edu.au,NSW,info@azc.nsw.edu.au,,10,Y,NG
50567,Alamanda K-9 College,Pri/Sec,http://www.alamandacollege.vic.edu.au/,VIC,alamanda.k9@education.vic.gov.au,(03) 8376 5200,20,N,Gov
50010,Alawa Primary School,Prim,http://www.alawaprimary.nt.edu.au,NT,alawa.school@education.nt.gov.au,"0447 326 186, 08 8997 7666",72,N,Gov
45065,Albanvale Primary School,Prim,http://www.albanvaleps.vic.edu.au/,VIC,albanvale.ps@education.vic.gov.au,03 9367 2197,20,N,Gov
48265,Albany Primary School,Prim,http://albanyprimary.wa.edu.au/,WA,albany.ps@education.wa.edu.au,(08) 9844 2860,52,N,Gov
44224,Albert Park Primary School,Prim,http://www.albertparkps.vic.edu.au,VIC,albert.park.ps@education.vic.gov.au,396999090,20,N,Gov
42339,Albert Park Public School,Prim,https://albertpk-p.schools.nsw.gov.au,NSW,albertpk-p.school@det.nsw.edu.au,02 6621 3259,11,N,Gov
49198,Alberton Primary School,Prim,http://www.albertonps.sa.edu.au,SA,dl.0202.info@schools.sa.edu.au,(08) 8447 1924,40,N,Gov
44030,Alberton Primary School,Prim,http://www.albertonps.vic.edu.au,VIC,alberton.ps@education.vic.gov.au,03 5183 2412,21,N,Gov
44875,Albion North Primary School,Prim,http://www.albionnorthps.vic.edu.au,VIC,"albionnorth@theircare.com.au, albion.north.ps@education.vic.gov.au","0418 100 818, (03) 9312 5900",20,N,Gov
42861,Albion Park Rail Public School,Prim,https://albionpkr-p.schools.nsw.gov.au,NSW,albionpkr-p.school@det.nsw.edu.au,02 4256 1287,10,N,Gov
40100,Albuera Street Primary School,Prim,https://albuerastreetprimary.education.tas.edu.au/,TAS,albuera.street.primary@decyp.tas.gov.au,03 6223 2268,61,N,Gov
42531,Albury Public School,Prim,https://albury-p.schools.nsw.gov.au,NSW,albury-p.school@det.nsw.edu.au,02 6021 3849,11,N,Gov
50074,Alcoota School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/alcoota-school,NT,teach.det@education.nt.gov.au,1800 646 391,74,N,Gov
42356,Aldavilla Public School,Prim,https://aldavilla-p.schools.nsw.gov.au,NSW,aldavilla-p.school@det.nsw.edu.au,02 6563 1141,11,N,Gov
44987,Aldercourt Primary School,Prim,http://www.aldercourtps.vic.edu.au/,VIC,aldercourt.ps@education.vic.gov.au,,20,N,Gov
49204,Aldgate Primary School,Prim,http://www.aldgateps.sa.edu.au/,SA,dl.0210.info@schools.sa.edu.au,08 8339 2377,40,N,Gov
53035,Aldinga Payinthi College,Pri/Sec,https://aldingapayinthicollege.sa.edu.au,SA,dl.1914.info@schools.sa.edu.au,(08) 7505 6100,40,N,Gov
50054,Alekarenge School,Pri/Sec,http://www.nationwide.com.au/alekarengeschool/,NT,admin.alekacec@ntschools.net,"08 8964 1957, 08 8964 1969",74,N,Gov
44166,Alexandra Primary School,Prim,http://www.alexandraps.vic.edu.au,VIC,alexandra.ps@education.vic.gov.au,(03) 5772 1006,21,N,Gov
45349,Alexandra Secondary College,Sec,http://www.asc.vic.edu.au,VIC,alexandra.sc@education.vic.gov.au,"(03) 5770 2021, (03) 5770 2000",21,N,Gov
43952,Al-Faisal College,Pri/Sec,http://www.afc.nsw.edu.au,NSW,"lakemba@afc.nsw.edu.au, liverpool@afc.nsw.edu.au, alfaisalcollege@afc.nsw.edu.au, campbelltown@afc.nsw.edu.au","32 082 621 092, 1800 000 149",10,Y,NG
50593,Al-Faisal College - Campbelltown,Pri/Sec,http://www.afc.nsw.edu.au/,NSW,"lakemba@afc.nsw.edu.au, liverpool@afc.nsw.edu.au, alfaisalcollege@afc.nsw.edu.au, campbelltown@afc.nsw.edu.au","32 082 621 092, 1800 000 149",10,Y,NG
51520,Al-Faisal College - Liverpool,Pri/Sec,http://www.alfaisalcollege.com/,NSW,alfaisalcollege@afc.nsw.edu.au,,10,Y,NG
41115,Alfords Point Public School,Prim,https://alfordspt-p.schools.nsw.gov.au,NSW,alfordspt-p.school@det.nsw.edu.au,02 9543 0185,10,N,Gov
44196,Alfredton Primary School,Prim,http://www.alfredtonps.vic.edu.au/,VIC,alfredton.ps@education.vic.gov.au,(03) 5334 1572,21,N,Gov
49106,Al-Hidayah Islamic School,Prim,http://www.islamicschool.com.au,WA,info@islamicschool.com.au,"08 9351 8593, 72 481 406 449",50,Y,NG
46354,Alia College,Sec,http://www.alia.vic.edu.au,VIC,"info@alia.vic.edu.au, enrolments@alia.vic.edu.au","(03) 9822 9622, 38 087 134 450",20,Y,NG
50008,Alice Springs School Of The Air,Pri/Sec,http://www.assoa.nt.edu.au/,NT,assoa@assoa.nt.edu.au,(08) 8951 6800,73,N,Gov
48691,Alinjarra Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5693,WA,Alinjarra.PS@education.wa.edu.au,,50,N,Gov
52490,Alkimos College,Sec,http://www.alkimoscollege.wa.edu.au,WA,"Alkimos.col@education.wa.edu.au, paris.noble@education.wa.edu.au",(08) 9561 7300,50,N,Gov
45604,Alkira Secondary College,Sec,http://www.alkirasecondarycollege.com.au,VIC,alkira.sc@education.vic.gov.au,"03 5991 3500, 25 325 980 922",20,N,Gov
43404,All Hallows Catholic Primary School,Prim,https://ahpsfivedock.syd.catholic.edu.au,NSW,"admin@allhallows.org.au, info@ahpsfivedock.catholic.edu.au","046 (02) 9713 4469, (02) 9713 7960, (02) 9713 4469",10,N,NG
43567,All Hallows Catholic Primary School Gulgong,Prim,https://www.allhallowsgulgong.catholic.edu.au/,NSW,b.toole2@bth.catholic.edu.au,02 6374 1582,12,N,NG
47882,All Hallows' School,Pri/Sec,http://www.ahs.qld.edu.au,QLD,admin@ahs.qld.edu.au,(07) 3831 3100,30,N,NG
48002,All Saints Anglican School,Pri/Sec,http://www.asas.qld.edu.au,QLD,enquiries@asas.qld.edu.au,07 5530 2855,30,Y,NG
53341,All Saints Anglican School,Pri/Sec,http://allsaints.vic.edu.au,VIC,info@allsaints.vic.edu.au,(03) 5825 0000,21,Y,NG
43422,All Saints Catholic College,Pri/Sec,https://ascc.syd.catholic.edu.au,NSW,"info@ascc.catholic.edu.au, secretary@allsaintsparishliverpool.org.au","170 (02) 9602 4555, (02) 9602 8466, (02) 9602 4555",10,N,NG
40618,All Saints College,Sec,http://www.maitlandasc.catholic.edu.au/,NSW,admin@maitlandasc.catholic.edu.au,(02) 4933 6933,10,N,NG
43318,All Saints College (St Peter's),Sec,http://www.maitlandasc.catholic.edu.au,NSW,admin@maitlandasc.catholic.edu.au,(02) 4933 6933,10,N,NG
49049,All Saints' College,Pri/Sec,http://www.allsaints.wa.edu.au,WA,info@allsaints.wa.edu.au,(08) 9313 9333,50,Y,NG
40892,All Saints Grammar,Sec,http://www.allsaints.nsw.edu.au,NSW,"enrolments@allsaints.nsw.edu.au, admin@allsaints.nsw.edu.au","02 9704 6433, 02 9704 6400",10,Y,NG
43959,All Saints Grammar Junior School,Prim,http://www.allsaints.nsw.edu.au,NSW,"enrolments@allsaints.nsw.edu.au, admin@allsaints.nsw.edu.au","02 9704 6433, 02 9704 6400",10,Y,NG
45736,All Saints Parish School,Prim,http://www.asportland.catholic.edu.au,VIC,admin@asportland.catholic.edu.au,(03) 5523 3654,22,N,NG
41281,Allambie Heights Public School,Prim,https://allambieht-p.schools.nsw.gov.au,NSW,allambieht-p.school@det.nsw.edu.au,02 9451 5440,10,N,Gov
44031,Allansford and District Primary School,Prim,http://www.allansford-ps.vic.edu.au,VIC,allansford.ps@education.vic.gov.au,355651382,21,N,Gov
49337,Allenby Gardens Primary School,Prim,http://www.allenbyps.sa.edu.au,SA,dl.0473.webmasters@schools.sa.edu.au,,40,N,Gov
49436,Allendale East Area School,Pri/Sec,http://www.alleastas.sa.edu.au/,SA,dl.0751.info@schools.sa.edu.au,,42,N,Gov
48267,Allendale Primary School,Prim,http://allendaleps.wa.edu.au,WA,"Allendale.PS@education.wa.edu.au, allendale.ps@education.wa.edu.au","08 9923 6600, 08 9921 4218",52,N,Gov
50380,Alpha Omega Senior College,Sec,http://www.aosc.nsw.edu.au/,NSW,theregistrar@aosc.nsw.edu.au,(02) 9199 3900,10,Y,NG
46316,Alphington Grammar School,Pri/Sec,http://www.alphington.vic.edu.au,VIC,info@ags.vic.edu.au,03 9497 4777,20,Y,NG
50075,Alpurrurulam School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/alpurrurulam-school,NT,teach.det@education.nt.gov.au,1800 646 391,74,N,Gov
42405,Alstonville High School,Sec,https://alstonvill-h.schools.nsw.gov.au,NSW,"alstonvill-h.school@det.nsw.edu.au, alstonvillehs.pc@gmail.com",02 6628 5222,11,N,Gov
51521,Alta-1 College,Sec,http://www.alta-1.qld.edu.au/about-us,QLD,Metroadmin@alta-1.wa.edu.au,,30,Y,NG
40967,Alta-1 College - Joondalup Campus,Special,http://www.alta-1.wa.edu.au,WA,"admin@alta-1.qld.edu.au, admin@alta-1.wa.edu.au, greatsouthern-admin@alta-1.wa.edu.au, kununurra-admin@alta-1.wa.edu.au","510 (07) 5301 8008, 743 (08) 9166 9009, 330 (08) 9403 8233, 919 (08) 9403 8200",50,Y,NG
53030,Alta-1 Kimberley College,Special,https://www.alta-1.com.au,WA,"admin@alta-1.qld.edu.au, admin@alta-1.wa.edu.au, greatsouthern-admin@alta-1.wa.edu.au, kununurra-admin@alta-1.wa.edu.au","510 (07) 5301 8008, 743 (08) 9166 9009, 330 (08) 9403 8233, 919 (08) 9403 8200",54,Y,NG
45587,Altona College,Pri/Sec,http://www.altonacollege.vic.edu.au,VIC,altona.co@education.vic.gov.au,392508050,20,N,Gov
45141,Altona Green Primary School,Prim,http://www.altonagreen.vic.edu.au/,VIC,altona.green.ps@education.vic.gov.au,028 03 9360 0777,20,N,Gov
45061,Altona Meadows Primary School,Prim,http://www.amps.vic.edu.au,VIC,altona.meadows.ps@education.vic.gov.au,03 9369 1288,20,N,Gov
44919,Altona North Primary School,Prim,http://www.altonanorthps.vic.edu.au,VIC,altona.north.ps@education.vic.gov.au,93914233,20,N,Gov
44671,Altona Primary School,Prim,http://www.altonaps.vic.edu.au,VIC,altona.ps@education.vic.gov.au,(03) 9398 2925,20,N,Gov
45291,Alvie Primary School,Prim,https://www.alvie-ps.vic.edu.au/,VIC,alvie.ps@education.vic.gov.au,"03 5234 8256, (03) 5234 8256",21,N,Gov
50138,Amanbidji School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/amanbidji-school,NT,teach.det@education.nt.gov.au,1800 646 391,74,N,Gov
41607,Ambarvale High School,Sec,https://ambarvale-h.schools.nsw.gov.au,NSW,ambarvale-h.school@det.nsw.edu.au,02 4627 1800,10,N,Gov
41498,Ambarvale Public School,Prim,https://ambarvale-p.schools.nsw.gov.au,NSW,ambarvale-p.school@det.nsw.edu.au,02 4626 1485,10,N,Gov
47720,Ambrose Treacy College,Pri/Sec,http://www.atc.qld.edu.au/,QLD,admin@atc.qld.edu.au,"36 582 902 965, (07) 3878 0500, 07 3878 0500",30,N,NG
50076,Amoonguna School,Prim,https://www.teachintheterritory.nt.gov.au/schools/amoonguna-school,NT,teach.det@education.nt.gov.au,1800 646 391,73,N,Gov
44330,Amphitheatre Primary School,Prim,http://www.amphips.vic.edu.au,VIC,"mymail@mailservice.com, amphitheatre.ps@education.vic.gov.au","555-555-5555, 03 5466 2223",21,N,Gov
50077,Ampilatwatja School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/ampilatwatja-school,NT,teach.det@education.nt.gov.au,"101255584774324, 1800 646 391",74,N,Gov
40392,Andale School,Special,http://www.andale.vic.edu.au,VIC,andaleschool@andale.vic.edu.au,03 9853 3911,20,Y,NG
49232,Angle Vale Primary School,Prim,http://www.avps.sa.edu.au,SA,dl.0255.info@schools.sa.edu.au,(08) 8284 7222,40,N,Gov
44744,Anglesea Primary School,Prim,http://www.angleseaps.vic.edu.au,VIC,anglesea.ps@education.vic.gov.au,352631231,21,N,Gov
40989,Annandale North Public School,Prim,https://annandalen-p.schools.nsw.gov.au,NSW,annandalen-p.school@det.nsw.edu.au,02 9660 3972,10,N,Gov
41247,Annangrove Public School,Prim,https://annangrove-p.schools.nsw.gov.au,NSW,annangrove-p.school@det.nsw.edu.au,02 9679 1303,10,N,Gov
52265,Anne Hamersley Primary School,Prim,http://www.annehamersleyps.wa.edu.au,WA,annehamersley.ps@education.wa.edu.au,892977000,50,N,Gov
45973,Annunciation School,Prim,http://www.asbrooklyn.catholic.edu.au,VIC,principal@asbrooklyn.catholic.edu.au,393146271,20,N,NG
43093,Anson Street School,Special,https://ansonst-s.schools.nsw.gov.au,NSW,ansonst-s.school@det.nsw.edu.au,02 6362 4563,11,N,Gov
46112,Antonine College,Pri/Sec,http://www.antonine.catholic.edu.au,VIC,enquiries@antonine.catholic.edu.au,(03) 9354 1377,20,N,NG
49781,Antonio Catholic School,Prim,http://www.antonio.catholic.edu.au,SA,info@antonio.catholic.edu.au,"0419 866 581, 08 8325 4500",40,N,NG
44866,Antonio Park Primary School,Prim,http://www.antoniops.vic.edu.au,VIC,antonio.park.ps@education.vic.gov.au,398744371,20,N,Gov
52051,Anzac Park Public School,Prim,https://anzacpark-p.schools.nsw.gov.au,NSW,anzacpark-p.school@det.nsw.edu.au,02 9922 3288,10,N,Gov
48561,Anzac Terrace Primary School,Prim,http://anzacterrace.wa.edu.au/,WA,anzacterrace.ps@education.wa.edu.au,(08) 9352 2600,50,N,Gov
45068,Apollo Parkways Primary School,Prim,http://www.apolloparkps.vic.edu.au,VIC,apollo.parkways.ps@education.vic.gov.au,(03) 9433 1300,20,N,Gov
45085,Appin Park Primary School,Prim,http://www.appinparkps.vic.edu.au,VIC,appin.park.ps@education.vic.gov.au,03 5722 1326,21,N,Gov
48117,Applecross Senior High School,Sec,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4002,WA,axshs.email@education.wa.edu.au,,50,N,Gov
43492,Aquinas Catholic College,Sec,https://aquinasmenai.syd.catholic.edu.au,NSW,info@aquinasmenai.catholic.edu.au,"(02) 9543 0188, 234 (02) 9543 0188, (02) 9543 2677",10,N,NG
45947,Aquinas College,Sec,http://www.aquinas.vic.edu.au,VIC,principal@aquinas.vic.edu.au,67 572 210 499,20,N,NG
48916,Aquinas College,Pri/Sec,http://www.aquinas.wa.edu.au,WA,"admin@aquinas.wa.edu.au, enrolments@aquinas.wa.edu.au",,50,N,NG
44974,Araluen Primary School,Prim,http://www.araluenps.vic.edu.au,VIC,araluen.ps@education.vic.gov.au,03 5144 2111,21,N,Gov
48965,Aranmore Catholic Primary School,Prim,http://www.aranmorecps.wa.edu.au,WA,admin@aranmorecps.wa.edu.au,(08) 6318 7800,50,N,NG
44958,Ararat North Primary School,Prim,http://www.anps.vic.edu.au,VIC,ararat.north.ps@education.vic.gov.au,03 5352 3766,21,N,Gov
45523,Ararat Secondary College,Sec,http://www.araratcc.vic.edu.au,VIC,ararat.sc@education.vic.gov.au,(03) 5352 4177,21,N,Gov
44809,Ararat West Primary School,Prim,http://www.araratwestps.vic.edu.au,VIC,ararat.west.ps@education.vic.gov.au,(03) 5352 1909,21,N,Gov
48768,Arbor Grove Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5792,WA,arborgrove.ps@education.wa.edu.au,,50,N,Gov
52493,Arcadia College,Special,https://www.arcadia.qld.edu.au/,QLD,"adminde@arcadia.qld.edu.au, admin@arcadia.qld.edu.au","(07) 5655 1888, (07) 5655 1818, (07) 5655 1800, (07) 3063 5925, (07) 5655 1806",30,Y,NG
41194,Arcadia Public School,Prim,https://arcadia-p.schools.nsw.gov.au,NSW,arcadia-p.school@det.nsw.edu.au,02 9653 1207,11,N,Gov
42019,Arcadia Vale Public School,Prim,https://arcadiaval-p.schools.nsw.gov.au,NSW,arcadiaval-p.school@det.nsw.edu.au,02 4975 1181,10,N,Gov
44998,Ardeer South Primary School,Prim,http://www.ardeersthps.vic.edu.au,VIC,ardeer.south.ps@education.vic.gov.au,393632768,20,N,Gov
42533,Ardlethan Central School,Pri/Sec,https://ardlethan-c.schools.nsw.gov.au,NSW,ardlethan-c.school@det.nsw.edu.au,02 6978 2046,12,N,Gov
44311,Ardmona Primary School,Prim,http://www.ardmonaps.vic.edu.au/,VIC,ardmona.ps@education.vic.gov.au,"(03) 5829 0273, 0419 388 732",21,N,Gov
48271,Ardross Primary School,Prim,http://www.ardrossps.wa.edu.au/,WA,ardross.ps@education.wa.edu.au,892631350,50,N,Gov
49419,Ardrossan Area School,Pri/Sec,http://www.ardas.sa.edu.au/,SA,dl.0732.info@schools.sa.edu.au,(08) 8837 3025,42,N,Gov
42001,Argenton Public School,Prim,https://argenton-p.schools.nsw.gov.au,NSW,argenton-p.school@det.nsw.edu.au,02 4958 1805,10,N,Gov
48818,Armadale Education Support Centre,Special,http://armadaleesc.wa.edu.au/,WA,armadale.esc@education.wa.edu.au,"0437 885 896, 08 9497 6435",50,N,Gov
44490,Armadale Primary School,Prim,http://www.armadaleps.vic.edu.au,VIC,armadale.ps@education.vic.gov.au,03 9822 7003,20,N,Gov
42410,Armidale City Public School,Prim,https://armidalec-p.schools.nsw.gov.au,NSW,armidalec-p.school@det.nsw.edu.au,02 6772 3420,11,N,Gov
52723,Armidale Secondary College,Sec,https://armidale-s.schools.nsw.gov.au,NSW,armidale-s.school@det.nsw.edu.au,02 6776 7400,11,N,Gov
52589,Armstrong Creek School,Prim,http://www.armstrongcreekschool.vic.edu.au/,VIC,armstrong.creek.school@education.vic.gov.au,"0352185100, 03 5218 5100",20,N,Gov
41129,Arncliffe Public School,Prim,https://arncliffe-p.schools.nsw.gov.au,NSW,arncliffe-p.school@det.nsw.edu.au,02 9567 5060,10,N,Gov
40647,Arndell School,Special,https://arndell-s.schools.nsw.gov.au,NSW,arndell-s.school@det.nsw.edu.au,02 9888 3737,10,N,Gov
51481,Arnolds Creek Primary School,Prim,http://arnoldscreekps.vic.edu.au/,VIC,arnolds.creek.ps@education.vic.gov.au,(03) 9732 8300,20,N,Gov
53082,Arrahman College,Prim,https://arrahmancollege.nsw.edu.au,NSW,admin@arrahmancollege.nsw.edu.au,(02) 8107 6000,10,Y,NG
41313,Arranounbai School,Special,https://arranoun-s.schools.nsw.gov.au,NSW,arranoun-s.school@det.nsw.edu.au,02 9452 3168,10,N,Gov
44336,Arthurs Creek Primary School,Prim,http://acps.vic.edu.au/,VIC,arthurs.creek.ps@education.vic.gov.au,397148204,21,N,Gov
46615,Ascot State School,Prim,https://ascotss.eq.edu.au,QLD,learning@home.Read,,30,N,Gov
44696,Ascot Vale West Primary School,Prim,http://www.avwps.vic.edu.au,VIC,ascot.vale.west.ps@education.vic.gov.au,(03) 9370 8784,20,N,Gov
48675,Ashburton Drive Primary School,Prim,http://www.ashburtondriveps.wa.edu.au,WA,AshburtonDrive.PS@education.wa.edu.au,(08) 9234 6300,50,N,Gov
44741,Ashburton Primary School,Prim,http://www.ashburtonps.vic.edu.au,VIC,ashburton.ps@education.vic.gov.au,03 9813 9400,20,N,Gov
40990,Ashbury Public School,Prim,https://ashbury-p.schools.nsw.gov.au,NSW,ashbury-p.school@det.nsw.edu.au,02 9798 4509,10,N,Gov
44298,Ashby Primary School,Prim,http://www.ashbyps.vic.edu.au/Ashby/Ashby_Primary_School.html,VIC,ashby.ps@education.vic.gov.au,"(03) 5223 1291, 03 5223 1291",20,N,Gov
41585,Ashcroft High School,Sec,https://ashcroft-h.schools.nsw.gov.au,NSW,ashcroft-h.school@det.nsw.edu.au,02 9607 8011,10,N,Gov
41477,Ashcroft Public School,Prim,https://ashcroft-p.schools.nsw.gov.au,NSW,ashcroft-p.school@det.nsw.edu.au,(02) 9607 8202,10,N,Gov
48273,Ashfield Primary School,Prim,https://www.ashfieldps.wa.edu.au/,WA,ashfield.ps@education.wa.edu.au,"08 6216 1300, 0437 153 984",50,N,Gov
40991,Ashfield Public School,Prim,https://ashfield-p.schools.nsw.gov.au,NSW,ashfield-p.school@det.nsw.edu.au,02 9798 4400,10,N,Gov
42412,Ashford Central School,Pri/Sec,https://ashford-c.schools.nsw.gov.au,NSW,ashford-c.school@det.nsw.edu.au,02 6725 4101,12,N,Gov
52697,Ashley Park Primary School,Prim,https://www.ashleyparkps.vic.edu.au,VIC,ashley.park.ps@education.vic.gov.au,(03) 8776 0200,20,N,Gov
42671,Ashmont Public School,Prim,https://ashmont-p.schools.nsw.gov.au,NSW,ashmont-p.school@det.nsw.edu.au,02 6931 4944,11,N,Gov
45518,Ashwood High School,Sec,http://www.ashwood.vic.edu.au,VIC,ashwood.hs@education.vic.gov.au,98071333,20,N,Gov
45015,Ashwood School,Special,http://www.ashwoodsch.vic.edu.au,VIC,ashwood.sch@education.vic.gov.au,398087444,20,N,Gov
45153,Aspendale Gardens Primary School,Prim,http://www.agps.vic.edu.au,VIC,aspendale.gardens.ps@education.vic.gov.au,(03) 9587 0877,20,N,Gov
44722,Aspendale Primary School,Prim,http://www.aspendale.vic.edu.au,VIC,aspendale.ps@education.vic.gov.au,395803255,20,N,Gov
52579,Aspiri Primary School,Prim,http://aspirips.wa.edu.au/,WA,aspiri.ps@education.wa.edu.au,08 9397 8300,50,N,Gov
41330,Asquith Boys High School,Sec,https://asquithboy-h.schools.nsw.gov.au,NSW,asquithboy-h.school@det.nsw.edu.au,02 9477 3508,10,N,Gov
41326,Asquith Girls High School,Sec,https://asquithgir-h.schools.nsw.gov.au,NSW,asquithgir-h.school@det.nsw.edu.au,02 9477 6411,10,N,Gov
41196,Asquith Public School,Prim,https://asquith-p.schools.nsw.gov.au,NSW,asquith-p.school@det.nsw.edu.au,02 9477 1258,10,N,Gov
48977,Assumption Catholic Primary School,Prim,http://www.assumption.wa.edu.au,WA,admin@assumption.wa.edu.au,(08) 9583 8500,50,N,NG
41059,Athelstane Public School,Prim,https://athelstane-p.schools.nsw.gov.au,NSW,athelstane-p.school@det.nsw.edu.au,02 9567 3550,10,N,Gov
45281,Athol Road Primary School,Prim,https://atholroadps.vic.edu.au/,VIC,athol.road.ps@education.vic.gov.au,,20,N,Gov
48274,Attadale Primary School,Prim,http://attadaleps.wa.edu.au/,WA,attadale.ps@education.wa.edu.au,08 6274 1700,50,N,Gov
42413,Attunga Public School,Prim,https://attunga-p.schools.nsw.gov.au,NSW,attunga-p.school@det.nsw.edu.au,02 6769 5554,12,N,Gov
